,Month,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08
957,oversized shirt men,55.0,58.5,42.6,28.5,26.25,31.6,54.0,67.25,79.0,79.5,91.5,81.0,76.0
958,women oversized t shirt,49.0,50.5,34.8,27.0,22.75,23.6,46.5,55.5,70.2,83.25,91.75,82.0,82.5
959,oversized shirt women,47.0,52.5,38.6,31.0,26.25,31.0,47.5,68.5,76.6,81.25,90.75,84.6,79.0
960,black oversized t shirt,52.0,51.5,38.8,24.25,25.25,32.8,55.25,64.0,71.6,81.75,88.0,77.4,90.5
961,black t shirt,84.0,86.75,77.6,73.5,69.0,70.8,83.75,93.25,95.6,86.25,92.5,86.4,94.5
962,oversized t shirt for men,42.0,42.0,29.8,22.25,22.75,26.8,45.25,52.75,71.2,70.75,83.75,72.2,75.5
963,t shirt for men,73.0,79.25,65.2,56.25,54.5,56.8,80.25,88.5,90.0,86.5,94.0,88.4,91.5
964,oversized shirt for women,51.0,42.5,30.0,26.75,25.0,29.6,42.0,55.5,65.2,72.75,82.0,72.4,72.5
965,t shirt for women,56.0,60.75,53.2,47.5,42.0,44.8,64.25,73.75,82.6,81.0,90.75,75.6,80.0
966,oversized t shirt for women,41.0,35.5,26.0,19.75,17.5,18.2,34.5,40.5,58.0,70.0,82.5,65.6,70.0
967,oversized tshirt,45.0,44.75,35.8,21.25,21.0,26.4,51.0,72.5,76.6,84.75,89.75,82.4,82.0
968,oversized white t shirt,47.0,47.5,32.4,30.0,26.75,32.2,44.75,59.25,70.4,68.75,85.25,63.6,71.5
969,white t shirt,82.0,87.25,69.6,68.5,67.75,69.0,82.75,88.0,90.6,83.25,94.0,81.4,94.0
970,white oversized shirt,49.0,49.0,39.2,27.25,30.25,37.6,54.25,62.25,76.2,85.0,91.25,67.2,84.0
971,oversized t-shirt,51.0,50.5,30.2,24.5,22.0,29.0,40.75,68.0,66.6,71.75,86.0,82.4,86.5
972,oversized t shirts,64.0,49.25,32.4,25.25,19.75,27.4,50.0,63.0,76.2,68.0,79.75,65.0,59.5
973,oversized jeans,71.0,65.75,46.8,45.75,40.0,39.8,54.25,61.5,73.6,75.75,90.5,71.2,91.0
974,anime t shirt,48.0,53.0,41.2,34.25,28.75,34.0,56.0,76.0,75.8,83.5,82.0,73.0,83.5
975,anime oversized t shirt,42.0,53.0,22.8,25.0,18.5,28.0,43.75,81.25,67.6,75.75,68.5,61.6,55.5
976,oversized pants,48.0,49.5,34.4,30.25,37.75,38.6,45.75,58.0,68.2,80.5,84.5,75.4,88.5
977,bonkers t shirt,52.0,54.5,36.6,25.25,27.0,29.2,59.0,74.75,71.8,67.25,76.75,62.0,54.5
978,bonkers,67.0,68.0,73.4,67.75,73.25,60.4,80.25,92.5,91.0,82.0,84.25,79.4,81.0
979,leotude oversized t shirt,27.0,0.0,0.0,8.25,10.0,6.4,30.5,7.25,46.4,43.5,49.25,45.0,69.5
980,dragon ball z oversized t shirt,0.0,5.5,0.0,17.25,25.0,0.0,0.0,10.75,4.6,4.75,8.25,0.0,17.5
981,kwabey,31.0,41.5,42.6,40.0,34.25,44.2,67.75,81.0,82.8,91.25,93.25,78.2,75.5
982,kwabey oversized t shirt,50.0,0.0,16.0,41.75,14.0,5.4,50.0,40.0,18.6,39.25,70.25,58.0,61.0
983,zoro oversized t shirt,51.0,7.5,4.6,16.25,8.75,0.0,7.25,30.0,4.6,28.75,35.5,36.8,22.5
984,converse shoes,90.0,94.75,88.6,86.25,82.5,89.8,82.25,77.5,75.4,67.5,60.0,57.6,53.5
985,oversized t shirt mockup,39.0,0.0,26.0,0.0,11.5,7.0,0.0,9.5,10.2,12.5,27.75,31.8,24.5
986,snitch oversized t shirt,88.0,5.0,10.6,10.0,4.5,12.8,54.25,17.5,37.2,36.75,39.75,35.6,40.0
987,overlays,10.0,10.75,5.2,64.25,32.5,14.2,10.25,7.75,14.0,10.5,13.5,10.8,15.5
988,vans oversized t shirt,0.0,9.25,16.0,30.25,44.5,6.6,21.25,46.5,61.2,32.0,49.25,16.8,49.0
989,one piece oversized t shirt,49.0,15.0,8.0,0.0,11.75,0.0,24.25,30.5,41.2,49.75,44.25,30.2,58.5
990,anime oversized t shirt meesho,19.0,9.0,25.0,0.0,0.0,20.0,0.0,0.0,38.6,50.0,48.25,34.8,29.0
991,anime tshirt,48.0,34.5,28.4,23.0,24.0,21.6,41.0,57.75,72.6,75.5,71.5,86.2,90.5
992,batman oversized t shirt,0.0,7.75,9.0,14.25,8.25,16.6,33.75,14.5,0.0,29.25,17.75,20.0,0.0
993,gavin paris,2.0,1.75,1.0,0.25,1.0,0.4,37.0,7.5,5.2,4.0,3.25,2.2,2.5
994,los angeles oversized t shirt,0.0,42.25,11.4,24.25,0.0,0.0,20.75,21.75,30.8,11.5,21.0,22.6,46.5
995,zudio oversized t shirt,26.0,15.0,3.2,18.5,18.0,11.0,24.5,37.25,42.0,36.0,40.0,37.8,33.5
996,nykaa fashion,75.0,88.25,82.0,85.75,69.25,76.8,77.0,71.0,69.2,62.25,68.75,81.4,82.5
997,palm angels oversized t shirt,94.0,41.5,5.4,6.25,20.25,12.0,0.0,27.75,0.0,38.25,33.25,10.4,0.0
998,couple oversized t shirt,0.0,0.0,6.6,5.0,4.0,5.4,8.0,22.75,16.8,8.75,40.75,25.6,28.0
999,westside oversized t shirt,0.0,0.0,0.0,28.75,0.0,6.4,25.0,31.0,30.4,35.5,33.25,12.8,26.5
1000,marvel oversized t shirt,0.0,5.25,4.0,6.75,25.0,17.0,10.0,18.25,21.0,49.5,18.5,15.8,0.0
1001,back print oversized t shirt,51.0,38.75,23.6,5.75,24.5,36.2,24.5,63.5,41.0,62.5,61.0,53.2,15.5
1002,chikankari kurti women,20.0,30.25,28.4,17.25,10.75,28.6,39.5,51.25,55.2,65.5,83.75,73.6,82.0
1003,short kurti chikankari,42.0,33.5,27.8,16.5,10.25,24.8,38.5,56.25,64.0,70.25,77.0,72.0,98.0
1004,chikankari kurti set,45.0,33.5,31.6,26.25,18.25,29.4,48.0,57.75,61.6,61.5,77.75,76.6,79.0
1005,kurta,50.0,59.25,74.6,51.0,40.75,55.2,65.75,72.25,82.2,53.0,50.0,41.6,58.0
1006,chikankari kurti black,48.0,35.25,37.4,16.5,20.25,28.4,52.5,55.0,69.0,70.0,77.0,71.0,93.0
1007,black kurti,82.0,78.5,71.0,59.0,51.5,64.8,77.25,80.0,79.8,72.75,82.5,78.0,95.0
1008,chikankari kurti white,42.0,43.0,33.2,23.25,22.0,29.2,53.75,69.5,46.2,55.25,58.75,54.8,95.5
1009,white kurti,44.0,43.75,37.4,28.25,27.75,39.2,49.25,48.75,44.4,35.5,42.5,43.6,87.5
1010,chikankari kurti cotton,26.0,25.25,30.0,23.75,13.0,23.4,47.75,50.75,57.8,63.25,79.5,64.6,42.5
1011,mirror chikankari kurti,41.0,45.0,56.6,30.75,23.0,32.4,47.0,62.5,63.8,73.25,80.25,82.6,65.5
1012,mirror work kurti,67.0,78.75,70.0,47.75,40.0,47.2,67.0,69.0,78.6,71.0,60.5,75.8,72.5
1013,chikankari kurti mirror work,38.0,32.0,53.8,28.5,6.0,23.2,43.5,60.75,60.4,68.75,74.75,84.6,80.0
1014,lucknowi chikankari,50.0,51.75,50.4,40.0,33.75,45.0,47.0,75.0,81.4,81.5,74.0,66.6,77.0
1015,lucknowi kurti,68.0,71.0,60.4,46.5,31.5,48.2,61.75,87.25,70.4,68.25,88.0,67.2,85.5
1016,lucknowi chikankari kurti,25.0,36.25,28.4,28.75,11.25,31.6,36.5,53.5,51.0,68.0,75.0,45.2,64.0
1017,chikankari suit,49.0,52.0,49.4,29.25,22.25,40.2,67.25,72.0,77.8,57.0,64.25,58.4,63.5
1018,chikankari dress,57.0,47.0,59.4,48.0,33.25,58.4,66.75,70.75,74.2,73.75,69.0,61.0,64.5
1019,mirror work chikankari kurti meesho,0.0,0.0,9.4,0.0,25.0,10.8,31.75,43.25,28.8,0.0,29.25,27.4,0.0
1020,chikankari naira cut kurti,0.0,34.25,14.4,23.25,30.5,0.0,21.75,0.0,25.4,0.0,15.0,17.8,40.0
